_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
64a3d95073193c702eef283c,,45.2,89.51,57.2,77.88,113;8;2;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688459600000
64a3cb7073193c702ed4402f,,45.2,87.76,58.8,78.05,113;10;4;1,time,30,-1,1,30,0,1.47,false,false,english,none,normal,false,false,false,,1688456048000
64a3be9a73193c702eb962fd,,50.8,95.83,57.6,74.54,127;3;0;0,time,30,-1,1,30,0,20.79,false,false,english,none,normal,false,false,false,,1688452762000
64a3bc5673193c702eb2b296,,60,96.97,66,81.97,150;2;0;1,time,30,-1,2,30,0,2.35,false,false,english,none,normal,false,false,false,,1688452182000
64a3af3473193c702e9e752f,,42.4,83.11,59.2,81.18,106;15;3;3,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688448820000
64a3af1473193c702e9e7468,,45.58,90.21,57.18,75.37,114;7;2;0,time,30,-1,1,30.01,0,8.32,false,false,english,none,normal,false,false,false,,1688448788000
64a398a773193c702e6f828c,,47.58,87.5,60.78,75.6,119;11;1;4,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688443047000
64a393a073193c702e68c4e6,,48.4,91.91,54.4,78.14,121;8;0;3,time,30,-1,1,30,0,3.79,false,false,english,none,normal,false,false,false,,1688441760000
64a390fe73193c702e6215be,,38.39,84.83,57.98,78.58,96;11;3;2,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688441086000
64a37e9573193c702e408ecf,,47.58,91.37,55.58,79.54,119;8;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688436373000
64a37a0973193c702e39d384,,45.6,91.97,54.8,79.86,114;6;1;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688435209000
64a377e273193c702e3327f6,,46.4,90.65,55.6,74.17,116;8;2;0,time,30,-1,2,30,0,9.62,false,false,english,none,normal,false,false,false,,1688434658000
64a3774f73193c702e3324db,,43.19,92.65,54.38,73.45,108;6;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688434511000
64a3723773193c702e25c819,,41.99,88.32,54.78,74.92,105;8;2;1,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688433207000
64a2c52573193c702edc7b4a,,48.8,91.16,58.8,75.65,122;8;1;1,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688388901000
64a2c25573193c702ed5c3c4,,54.8,95.97,59.6,74.28,137;3;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688388181000
64a2c17d73193c702ed5bc31,,53.18,95.95,58.78,79.11,133;3;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688387965000
64a2c15c73193c702ed5baf3,,40,86.67,54,77.96,100;11;1;2,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688387932000
64a2c13c73193c702ed5b9c9,,40.39,85.29,54.38,78.14,101;13;1;3,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688387900000
